fhrs_id,business_name,business_type,rating_value,rating_date,new_rating_pending,address_line_3,post_code,rating_value_num,rating_value_text,rating_year,rating_month,postcode_area,rating_category
1820296,Peking,Takeaway/sandwich shop,4,2025-06-12,False,Manchester,M23 1JP,4,,2025,6,M23,Good
1817050,People's History Museum also T/as Open Kitchen Cafe & Bar,Restaurant/Cafe/Canteen,5,2024-10-12,False,Manchester,M3 3ER,5,,2024,10,M3,Excellent
1753102,Pepe's,Restaurant/Cafe/Canteen,5,2026-01-22,False,Manchester,M8 5EL,5,,2026,1,M8,Excellent
1839278,Pepes Piri Piri,Restaurant/Cafe/Canteen,5,2025-06-25,False,Manchester,M14 5TB,5,,2025,6,M14,Excellent
1816444,Pepe's Piri Piri,Restaurant/Cafe/Canteen,5,2024-04-12,False,Manchester,M20 3BW,5,,2024,4,M20,Excellent
1906840,Peppermints,Restaurant/Cafe/Canteen,AwaitingInspection,,False,Manchester,M3 1FF,,AwaitingInspection,,,M3,Unknown
1870701,Peri Fried Cottage,Restaurant/Cafe/Canteen,3,2025-09-12,False,Manchester,M18 8RR,3,,2025,9,M18,Satisfactory
1814893,Peri Peri Heaven also T/as Creamy Deluxe,Takeaway/sandwich shop,5,2025-05-06,False,Manchester,M12 6DA,5,,2025,5,M12,Excellent
1900855,Peri Peri Heaven also T/as Grillhouse Burgers and Creamy luxe,Takeaway/sandwich shop,AwaitingInspection,,False,Manchester,M12 6DA,,AwaitingInspection,,,M12,Unknown
1817265,Perk Me Up! Foods,Other catering premises,5,2022-03-03,False,,,5,,2022,3,,Excellent
1821483,Perry's Pantry Foodbank,Other catering premises,5,2023-06-06,False,,,5,,2023,6,,Excellent
1821567,Persia Restaurant & Bar,Restaurant/Cafe/Canteen,5,2023-07-20,False,Manchester,M21 7GJ,5,,2023,7,M21,Excellent
1818751,Peste,Retailers - other,5,2023-11-29,False,Manchester,M4 5EB,5,,2023,11,M4,Excellent
1820930,Pete's Chippy,Takeaway/sandwich shop,4,2025-12-15,False,Manchester,M9 8LZ,4,,2025,12,M9,Good
1906775,Petit Dessert,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1818728,Peveril of The Peak,Pub/bar/nightclub,3,2023-12-03,False,Manchester,M1 5JQ,3,,2023,12,M1,Satisfactory
1819432,Pharmaco Chemists Ltd,Retailers - other,5,2018-01-12,False,Bradford,M11 1LE,5,,2018,1,M11,Excellent
1821937,Phat Ladz,Takeaway/sandwich shop,4,2024-09-23,False,Manchester,M12 4QA,4,,2024,9,M12,Good
